class,delta,u,v,baseline_d,signed_d
compressed,-6,5,95,7,1
compressed,-6,5,215,8,2
compressed,-6,5,275,7,1
compressed,-6,5,335,7,1
compressed,-6,5,395,7,1
compressed,-6,5,515,9,3
compressed,-6,5,575,8,2
compressed,-6,5,695,9,3
compressed,-6,5,755,8,2
compressed,-6,5,815,8,2
compressed,-6,35,65,7,1
compressed,-6,35,185,8,2
compressed,-6,35,245,7,1
compressed,-6,35,305,7,1
compressed,-6,35,365,7,1
compressed,-6,35,485,9,3
compressed,-6,35,545,8,2
compressed,-6,35,665,9,3
compressed,-6,35,725,8,2
compressed,-6,35,785,8,2
compressed,-6,65,155,7,1
compressed,-6,65,395,7,1
compressed,-6,65,455,7,1
compressed,-6,65,575,9,3
compressed,-6,65,635,8,2
compressed,-6,65,695,8,2
compressed,-6,65,755,8,2
compressed,-6,65,815,8,2
compressed,-6,65,875,9,3
compressed,-6,95,125,7,1
expanded,1,719,899,2,3
expanded,1,719,897,4,5
expanded,1,719,891,4,5
expanded,1,719,863,4,5
expanded,1,719,857,3,4
expanded,1,719,855,3,4
expanded,1,719,853,3,4
expanded,1,719,851,4,5
expanded,1,719,850,5,6
expanded,1,719,844,3,4
expanded,1,718,898,2,3
expanded,1,718,896,4,5
expanded,1,718,895,4,5
expanded,1,718,892,3,4
expanded,1,718,890,4,5
expanded,1,718,864,4,5
expanded,1,718,856,3,4
expanded,1,718,854,3,4
expanded,1,718,852,3,4
expanded,1,718,845,4,5
expanded,1,718,840,4,5
expanded,1,717,899,4,5
expanded,1,717,897,2,3
expanded,1,717,895,4,5
expanded,1,717,893,3,4
expanded,1,717,891,3,4
expanded,1,717,890,5,6
expanded,1,717,889,3,4
expanded,1,717,881,4,5
expanded,1,717,855,5,6
