slot,has_odd_triangle,odd_triangle_count,even_triangle_count,best_odd_cycle_lens,return_pair_count,compressed_count,unchanged_count,expanded_count,mean_actual_delta,delta_counts
0,True,2,0,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
1,True,2,0,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
2,True,2,0,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
3,True,1,1,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
4,True,1,1,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
5,True,2,0,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
6,True,1,1,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
7,True,1,1,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
8,True,1,1,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
9,False,0,2,5,60,2,58,0,-0.03333333333333333,"{""-1"": 2, ""0"": 58}"
10,True,1,1,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
11,False,0,2,5,60,2,58,0,-0.03333333333333333,"{""-1"": 2, ""0"": 58}"
12,False,0,2,5,60,2,58,0,-0.03333333333333333,"{""-1"": 2, ""0"": 58}"
13,False,0,2,5,60,2,58,0,-0.03333333333333333,"{""-1"": 2, ""0"": 58}"
14,True,1,1,3,60,26,34,0,-0.5,"{""-3"": 2, ""-1"": 24, ""0"": 34}"
